56	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5				
57	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								5	5	5	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5				
58	Con personal a cargo	3. Jefes de Área	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								4	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	4	4	5	4	4	5	4	5	5	5	5	5	5				
59	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								5	4	4	5	5	4	4	5	5	5	5	5	5	5	5	5	4	5	5	5	4	5	5	5	5	5	5	5	5	5				Comunicación como cruzar las pistas
60	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								4	4	4	5	5	5	5	5	5	4	3	5	5	4	4	4	5	5	5	4	4	4	4	4	4	4	4	5	4	4				
61	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								4	4	4	4	4	4	4	5	5	4	5	5	5	5	5	5	5	5	5	5	3	4	5	4	4	4	2	5	5	5				
62	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								4	4	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	4	5	4	5	5	4	4	4	4	4				
63	Con personal a cargo	3. Jefes de Área	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								5	4	5	4	4	5	4	4	5	4	4	5	4	4	4	5	5	4	4	5	5	4	5	4	5	5	5	5	5	5				
64	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5				
65	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	INCIMMENT								5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5				
66	Con personal a cargo	1. Superintendentes	TITULAR MINERO	PROYECTOS	RAURA								5	5	5	5	5	5	4	4	5	5	5	5	4	5	5	5	5	5	4	3	3	5	5	5	5	5	3	3	5	5				
67	Con personal a cargo	3. Jefes de Área	TITULAR MINERO	PROYECTOS	RAURA								4	5	3	4	3	4	4	4	4	5	5	5	4	5	4	4	5	5	5	5	4	4	4	4	4	4	4	4	4	4				
68	Con personal a cargo	2. Supervisores	TITULAR MINERO	PROYECTOS	RAURA								4	4	4	3	3	4	4	4	4	3	5	4	4	4	4	4	4	4	4	4	4	4	3	3	4	3	4	4	3	3				
69	Sin personal a cargo	1. Ingenieros	TITULAR MINERO	PLANEAMIENTO	RAURA								4	4	5	5	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	4	5	4	3	4	5	4	5	5	4	4				En casa siempre hablamos de medidas de seguridad
70	Sin personal a cargo	1. Ingenieros	TITULAR MINERO	PLANEAMIENTO	RAURA								4	4	4	4	4	4	5	4	4	4	5	5	5	4	3	5	5	4	4	3	3	3	4	4	5	4	2	4	5	5				Aplicar lo aprendido por ejemplo Trisafe
71	Con personal a cargo	3. Jefes de Área	TITULAR MINERO	PLANEAMIENTO	RAURA								4	4	4	4	4	4	3	3	3	4	4	5	4	4	4	4	4	3	4	2	3	3	2	4	4	4	4	4	4	4				
72	Sin personal a cargo	4. Operadores	TITULAR MINERO	PLANEAMIENTO	RAURA								4	4	3	3	3	3	3	3	3	4	5	5	3	4	4	4	5	4	4	2	3	3	3	3	3	4	3	4	5	5				
